"Dublin.Core.Title","Dublin.Core.Description","Dublin.Core.Creator","Dublin.Core.Date","Dublin.Core.Identifier","Dublin.Core.Rights","Dublin.Core.Type","Dublin.Core.Format","twitter_query","twitter_ids_count","twitter_links_count","indexed_links_count","files"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2023-03-17","1bb6b78ae56960dcc0f007b3b738b021","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","Niemcy",12083,555,467,"https://aspw.pl/aspw_temp/1bb6b78ae56960dcc0f007b3b738b021/all_tweets_id.csv;https://aspw.pl/aspw_temp/1bb6b78ae56960dcc0f007b3b738b021/domains.json;https://aspw.pl/aspw_temp/1bb6b78ae56960dcc0f007b3b738b021/tags.csv;https://aspw.pl/aspw_temp/1bb6b78ae56960dcc0f007b3b738b021/twitter_links.csv;https://aspw.pl/aspw_temp/1bb6b78ae56960dcc0f007b3b738b021/meta.csv;https://aspw.pl/aspw_temp/1bb6b78ae56960dcc0f007b3b738b021/base_index.json;https://aspw.pl/aspw_temp/1bb6b78ae56960dcc0f007b3b738b021/tags.csv"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2023-03-23","3e4d80b4d147b85b09f111c3c19459d0","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","papież",2647,108,89,"https://aspw.pl/aspw_temp/3e4d80b4d147b85b09f111c3c19459d0/all_tweets_id.csv;https://aspw.pl/aspw_temp/3e4d80b4d147b85b09f111c3c19459d0/domains.json;https://aspw.pl/aspw_temp/3e4d80b4d147b85b09f111c3c19459d0/tags.csv;https://aspw.pl/aspw_temp/3e4d80b4d147b85b09f111c3c19459d0/twitter_links.csv;https://aspw.pl/aspw_temp/3e4d80b4d147b85b09f111c3c19459d0/meta.csv;https://aspw.pl/aspw_temp/3e4d80b4d147b85b09f111c3c19459d0/base_index.json;https://aspw.pl/aspw_temp/3e4d80b4d147b85b09f111c3c19459d0/tags.csv"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2023-03-14","41ecc9d5526bac3ed3d63d8fade89619","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","papież",3516,126,111,"https://aspw.pl/aspw_temp/41ecc9d5526bac3ed3d63d8fade89619/all_tweets_id.csv;https://aspw.pl/aspw_temp/41ecc9d5526bac3ed3d63d8fade89619/domains.json;https://aspw.pl/aspw_temp/41ecc9d5526bac3ed3d63d8fade89619/tags.csv;https://aspw.pl/aspw_temp/41ecc9d5526bac3ed3d63d8fade89619/twitter_links.csv;https://aspw.pl/aspw_temp/41ecc9d5526bac3ed3d63d8fade89619/meta.csv;https://aspw.pl/aspw_temp/41ecc9d5526bac3ed3d63d8fade89619/base_index.json;https://aspw.pl/aspw_temp/41ecc9d5526bac3ed3d63d8fade89619/tags.csv"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2023-03-21","463ab887eb5c85ad15ec993759fa41a2","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","wojna",10465,455,410,"https://aspw.pl/aspw_temp/463ab887eb5c85ad15ec993759fa41a2/all_tweets_id.csv;https://aspw.pl/aspw_temp/463ab887eb5c85ad15ec993759fa41a2/domains.json;https://aspw.pl/aspw_temp/463ab887eb5c85ad15ec993759fa41a2/tags.csv;https://aspw.pl/aspw_temp/463ab887eb5c85ad15ec993759fa41a2/twitter_links.csv;https://aspw.pl/aspw_temp/463ab887eb5c85ad15ec993759fa41a2/meta.csv;https://aspw.pl/aspw_temp/463ab887eb5c85ad15ec993759fa41a2/base_index.json;https://aspw.pl/aspw_temp/463ab887eb5c85ad15ec993759fa41a2/tags.csv"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2023-03-10","50c2d93ebc4c7ca1fdf314762bae52ff","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","Radio Szczecin",6858,144,127,"https://aspw.pl/aspw_temp/50c2d93ebc4c7ca1fdf314762bae52ff/all_tweets_id.csv;https://aspw.pl/aspw_temp/50c2d93ebc4c7ca1fdf314762bae52ff/domains.json;https://aspw.pl/aspw_temp/50c2d93ebc4c7ca1fdf314762bae52ff/tags.csv;https://aspw.pl/aspw_temp/50c2d93ebc4c7ca1fdf314762bae52ff/twitter_links.csv;https://aspw.pl/aspw_temp/50c2d93ebc4c7ca1fdf314762bae52ff/meta.csv;https://aspw.pl/aspw_temp/50c2d93ebc4c7ca1fdf314762bae52ff/base_index.json;https://aspw.pl/aspw_temp/50c2d93ebc4c7ca1fdf314762bae52ff/tags.csv"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2023-03-16","5606778e0a301346182ac4b8093eec6a","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","GPT-4",211,35,21,"https://aspw.pl/aspw_temp/5606778e0a301346182ac4b8093eec6a/all_tweets_id.csv;https://aspw.pl/aspw_temp/5606778e0a301346182ac4b8093eec6a/domains.json;https://aspw.pl/aspw_temp/5606778e0a301346182ac4b8093eec6a/tags.csv;https://aspw.pl/aspw_temp/5606778e0a301346182ac4b8093eec6a/twitter_links.csv;https://aspw.pl/aspw_temp/5606778e0a301346182ac4b8093eec6a/meta.csv;https://aspw.pl/aspw_temp/5606778e0a301346182ac4b8093eec6a/base_index.json;https://aspw.pl/aspw_temp/5606778e0a301346182ac4b8093eec6a/tags.csv"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2023-03-09","6d5ec3a0991b64c2d6cabc430185eb9b","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","papież",4029,125,100,"https://aspw.pl/aspw_temp/6d5ec3a0991b64c2d6cabc430185eb9b/all_tweets_id.csv;https://aspw.pl/aspw_temp/6d5ec3a0991b64c2d6cabc430185eb9b/domains.json;https://aspw.pl/aspw_temp/6d5ec3a0991b64c2d6cabc430185eb9b/tags.csv;https://aspw.pl/aspw_temp/6d5ec3a0991b64c2d6cabc430185eb9b/twitter_links.csv;https://aspw.pl/aspw_temp/6d5ec3a0991b64c2d6cabc430185eb9b/meta.csv;https://aspw.pl/aspw_temp/6d5ec3a0991b64c2d6cabc430185eb9b/base_index.json;https://aspw.pl/aspw_temp/6d5ec3a0991b64c2d6cabc430185eb9b/tags.csv"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2023-03-23","7410d2260e2682bd471b07ee08a60445","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","Jan Paweł II",1442,141,123,"https://aspw.pl/aspw_temp/7410d2260e2682bd471b07ee08a60445/all_tweets_id.csv;https://aspw.pl/aspw_temp/7410d2260e2682bd471b07ee08a60445/domains.json;https://aspw.pl/aspw_temp/7410d2260e2682bd471b07ee08a60445/tags.csv;https://aspw.pl/aspw_temp/7410d2260e2682bd471b07ee08a60445/twitter_links.csv;https://aspw.pl/aspw_temp/7410d2260e2682bd471b07ee08a60445/meta.csv;https://aspw.pl/aspw_temp/7410d2260e2682bd471b07ee08a60445/base_index.json;https://aspw.pl/aspw_temp/7410d2260e2682bd471b07ee08a60445/tags.csv"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2023-03-21","7c44ac8cb6455f8b25bcbeee396361a1","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","Ukraina",6685,467,423,"https://aspw.pl/aspw_temp/7c44ac8cb6455f8b25bcbeee396361a1/all_tweets_id.csv;https://aspw.pl/aspw_temp/7c44ac8cb6455f8b25bcbeee396361a1/domains.json;https://aspw.pl/aspw_temp/7c44ac8cb6455f8b25bcbeee396361a1/tags.csv;https://aspw.pl/aspw_temp/7c44ac8cb6455f8b25bcbeee396361a1/twitter_links.csv;https://aspw.pl/aspw_temp/7c44ac8cb6455f8b25bcbeee396361a1/meta.csv;https://aspw.pl/aspw_temp/7c44ac8cb6455f8b25bcbeee396361a1/base_index.json;https://aspw.pl/aspw_temp/7c44ac8cb6455f8b25bcbeee396361a1/tags.csv"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2023-03-09","aa5ab538e35e5f4cf151fff76d5991fd","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","Karol Wojtyła",942,40,39,"https://aspw.pl/aspw_temp/aa5ab538e35e5f4cf151fff76d5991fd/all_tweets_id.csv;https://aspw.pl/aspw_temp/aa5ab538e35e5f4cf151fff76d5991fd/domains.json;https://aspw.pl/aspw_temp/aa5ab538e35e5f4cf151fff76d5991fd/tags.csv;https://aspw.pl/aspw_temp/aa5ab538e35e5f4cf151fff76d5991fd/twitter_links.csv;https://aspw.pl/aspw_temp/aa5ab538e35e5f4cf151fff76d5991fd/meta.csv;https://aspw.pl/aspw_temp/aa5ab538e35e5f4cf151fff76d5991fd/base_index.json;https://aspw.pl/aspw_temp/aa5ab538e35e5f4cf151fff76d5991fd/tags.csv"
