"url_archive_id","label","score"
"41014a1b12ee7c580c612831f0f2f629","polska",0.0574070997536182
"41014a1b12ee7c580c612831f0f2f629","bezpieczeństwo narodowe",0.0332123935222626
"41014a1b12ee7c580c612831f0f2f629","polityka energetyczna",0.0273095723241568
"41014a1b12ee7c580c612831f0f2f629","służba zdrowia",0.0233567282557487
"41014a1b12ee7c580c612831f0f2f629","przedsiębiorstwo",0.0221049394458532
"41014a1b12ee7c580c612831f0f2f629","zarządzanie",0.0210824105888605
"41014a1b12ee7c580c612831f0f2f629","przetwarzanie danych",0.0192539021372795
"41014a1b12ee7c580c612831f0f2f629","bezpieczeństwo teleinformatyczne",0.01601074449718
"41014a1b12ee7c580c612831f0f2f629","bezpieczeństwo publiczne",0.0152341453358531
"a0fd4a835d1d38c326ce0ab40b8639e3","polska",0.84015941619873
"a0fd4a835d1d38c326ce0ab40b8639e3","katar",0.793925940990448
"a0fd4a835d1d38c326ce0ab40b8639e3","piłka nożna",0.45710226893425
"a0fd4a835d1d38c326ce0ab40b8639e3","agresja rosyjska na ukrainę (2022)",0.190927222371101
"a0fd4a835d1d38c326ce0ab40b8639e3","nielegalni imigranci",0.127914920449257
"a0fd4a835d1d38c326ce0ab40b8639e3","zachorowalność",0.108796447515488
"a0fd4a835d1d38c326ce0ab40b8639e3","pomaganie",0.0971134305000305
"a0fd4a835d1d38c326ce0ab40b8639e3","sport",0.080113984644413
"a0fd4a835d1d38c326ce0ab40b8639e3","polityka migracyjna",0.0712581649422646
"a0fd4a835d1d38c326ce0ab40b8639e3","finansowanie",0.0709396228194237
"05097024c846be407149d4368fd0ea6b","piłkarze nożni",1
"05097024c846be407149d4368fd0ea6b","mecze piłkarskie",1
"05097024c846be407149d4368fd0ea6b","reprezentacja narodowa",1
"05097024c846be407149d4368fd0ea6b","piłka nożna",1
"05097024c846be407149d4368fd0ea6b","polska",0.914346277713776
"05097024c846be407149d4368fd0ea6b","zawody sportowe",0.679600536823273
"05097024c846be407149d4368fd0ea6b","katar",0.658537924289703
"05097024c846be407149d4368fd0ea6b","lewandowski, robert (1988- )",0.422104835510254
"05097024c846be407149d4368fd0ea6b","trenerzy i instruktorzy sportowi",0.291622251272202
"05097024c846be407149d4368fd0ea6b","michniewicz, czesław (1970- )",0.203502252697945
"3c2cc735282a73a8f9586b48b706f53c","katar",0.945720136165619
"3c2cc735282a73a8f9586b48b706f53c","piłka nożna",0.868104755878448
"3c2cc735282a73a8f9586b48b706f53c","stany zjednoczone (usa)",0.819916725158691
"3c2cc735282a73a8f9586b48b706f53c","polityka międzynarodowa",0.606825292110443
"3c2cc735282a73a8f9586b48b706f53c","polska",0.486454755067825
"3c2cc735282a73a8f9586b48b706f53c","chiny",0.404577046632767
"3c2cc735282a73a8f9586b48b706f53c","dyplomacja",0.357503414154053
"3c2cc735282a73a8f9586b48b706f53c","polityka zagraniczna",0.354462474584579
"3c2cc735282a73a8f9586b48b706f53c","francja",0.340840816497803
"3c2cc735282a73a8f9586b48b706f53c","agresja rosyjska na ukrainę (2022)",0.215763613581657
"0ccb1e36665605224675ea43f160b033","polska",0.835542857646942
"0ccb1e36665605224675ea43f160b033","katar",0.761962354183197
"0ccb1e36665605224675ea43f160b033","piłka nożna",0.429182291030884
"0ccb1e36665605224675ea43f160b033","agresja rosyjska na ukrainę (2022)",0.33726766705513
"0ccb1e36665605224675ea43f160b033","nielegalni imigranci",0.188646510243416
"0ccb1e36665605224675ea43f160b033","granice",0.141114428639412
"0ccb1e36665605224675ea43f160b033","polityka międzynarodowa",0.12598043680191
"0ccb1e36665605224675ea43f160b033","zachorowalność",0.125760212540627
"0ccb1e36665605224675ea43f160b033","pomaganie",0.125071719288826
"0ccb1e36665605224675ea43f160b033","polityka migracyjna",0.109165526926517
"7bcef2c55c382b920ea62f008e74767a","katar",1
"7bcef2c55c382b920ea62f008e74767a","polska",0.650750696659088
"7bcef2c55c382b920ea62f008e74767a","polityka międzynarodowa",0.640843629837036
"7bcef2c55c382b920ea62f008e74767a","agresja rosyjska na ukrainę (2022)",0.635270416736603
"7bcef2c55c382b920ea62f008e74767a","arabia saudyjska",0.304115861654282
"7bcef2c55c382b920ea62f008e74767a","bliski wschód",0.286472469568253
"7bcef2c55c382b920ea62f008e74767a","stany zjednoczone (usa)",0.26329842209816
"7bcef2c55c382b920ea62f008e74767a","bezpieczeństwo międzynarodowe",0.204259917140007
"7bcef2c55c382b920ea62f008e74767a","polityka zagraniczna",0.157459080219269
"7bcef2c55c382b920ea62f008e74767a","dyplomacja",0.149325728416443
"b16133fc936819416a47f35ba4f50723","polska",0.839265048503876
"b16133fc936819416a47f35ba4f50723","katar",0.762226641178131
"b16133fc936819416a47f35ba4f50723","piłka nożna",0.430815190076828
"b16133fc936819416a47f35ba4f50723","agresja rosyjska na ukrainę (2022)",0.340402990579605
"b16133fc936819416a47f35ba4f50723","nielegalni imigranci",0.190190300345421
"b16133fc936819416a47f35ba4f50723","granice",0.14212654531002
"b16133fc936819416a47f35ba4f50723","polityka międzynarodowa",0.127689465880394
"b16133fc936819416a47f35ba4f50723","zachorowalność",0.125967726111412
"b16133fc936819416a47f35ba4f50723","pomaganie",0.12513367831707
"b16133fc936819416a47f35ba4f50723","polityka migracyjna",0.110012568533421
"33790a37a7dd1f22436fd537da561d6e","polska",0.958070695400238
"33790a37a7dd1f22436fd537da561d6e","gry hazardowe",0.894240140914917
"33790a37a7dd1f22436fd537da561d6e","piłka nożna",0.467161297798157
"33790a37a7dd1f22436fd537da561d6e","sport",0.124732978641987
"33790a37a7dd1f22436fd537da561d6e","podatek dochodowy od osób fizycznych",0.121941745281219
"33790a37a7dd1f22436fd537da561d6e","prawo podatkowe",0.101610936224461
"33790a37a7dd1f22436fd537da561d6e","pozapłacowe świadczenia pracownicze",0.073085717856884
"33790a37a7dd1f22436fd537da561d6e","strefa euro",0.0699716433882713
"33790a37a7dd1f22436fd537da561d6e","energetyka jądrowa",0.0642831325531006
"33790a37a7dd1f22436fd537da561d6e","giełda papierów wartościowych (gpw)",0.0615300536155701
"01a50f43cc927644f6185e459755df6f","piłkarze nożni",1
"01a50f43cc927644f6185e459755df6f","piłka nożna",1
"01a50f43cc927644f6185e459755df6f","polska",1
"01a50f43cc927644f6185e459755df6f","reprezentacja narodowa",0.970195353031158
"01a50f43cc927644f6185e459755df6f","mecze piłkarskie",0.861225128173828
"01a50f43cc927644f6185e459755df6f","zawody sportowe",0.529864013195038
"01a50f43cc927644f6185e459755df6f","kluby piłkarskie",0.208514407277107
"01a50f43cc927644f6185e459755df6f","katar",0.146727547049522
"01a50f43cc927644f6185e459755df6f","siatkówka (sport)",0.14090196788311
