Dublin.Core.Title,Dublin.Core.Description,Dublin.Core.Creator,Dublin.Core.Date,Dublin.Core.Identifier,Dublin.Core.Rights,Dublin.Core.Type,Dublin.Core.Format,twitter_query,twitter_ids_count,twitter_links_count,indexed_links_count
Otwarte dane ASPW,"Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.",Archiwum Społeczne Polskiego Webu (ASPW),2022-03-28,003da3f4a0d0efecffa751ea4e313ed3,Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/,zbiór danych,text/csv$application/json,uchodźcy,786,48,43
Otwarte dane ASPW,"Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.",Archiwum Społeczne Polskiego Webu (ASPW),2022-03-28,11b72d79656fe64160a80c70f547f434,Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/,zbiór danych,text/csv$application/json,koronawirus,168,59,56
Otwarte dane ASPW,"Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.",Archiwum Społeczne Polskiego Webu (ASPW),2022-03-25,1c61c3f83fa81eb71a0fd37a844f9e56,Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/,zbiór danych,text/csv$application/json,BiaŁoruŚ,5001,274,264
Otwarte dane ASPW,"Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.",Archiwum Społeczne Polskiego Webu (ASPW),2022-03-26,2fdc49d1e888355df11de626b8156d3b,Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/,zbiór danych,text/csv$application/json,podatki,382,22,22
Otwarte dane ASPW,"Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.",Archiwum Społeczne Polskiego Webu (ASPW),2022-03-27,34c5c78c5e00a128404bcd2f1b0f92cf,Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/,zbiór danych,text/csv$application/json,koronawirus,382,124,120
Otwarte dane ASPW,"Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.",Archiwum Społeczne Polskiego Webu (ASPW),2022-03-27,45371dc703108d4c044598ca5e7a484e,Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/,zbiór danych,text/csv$application/json,Ukraina,5528,596,565
Otwarte dane ASPW,"Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.",Archiwum Społeczne Polskiego Webu (ASPW),2022-03-26,5f6c5e577404f04bd4c23a9a4ac4f833,Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/,zbiór danych,text/csv$application/json,Ukraińcy,2318,76,71
Otwarte dane ASPW,"Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.",Archiwum Społeczne Polskiego Webu (ASPW),2022-03-26,71393d1becb070d91ff21d67d780b096,Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/,zbiór danych,text/csv$application/json,Ukraina,5576,686,659
Otwarte dane ASPW,"Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.",Archiwum Społeczne Polskiego Webu (ASPW),2022-03-26,8100cd466c095be31a16682bd59221f6,Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/,zbiór danych,text/csv$application/json,Charków,629,57,55
Otwarte dane ASPW,"Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.",Archiwum Społeczne Polskiego Webu (ASPW),2022-03-26,862d28fadf5967e5dd0ba507d4441136,Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/,zbiór danych,text/csv$application/json,Lwów,2069,99,90
Otwarte dane ASPW,"Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.",Archiwum Społeczne Polskiego Webu (ASPW),2022-03-29,8814510f47602e0ed7e51251b26adcbc,Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/,zbiór danych,text/csv$application/json,Rosja,14280,1375,1292
Otwarte dane ASPW,"Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.",Archiwum Społeczne Polskiego Webu (ASPW),2022-03-29,a8f1e66b12a26a0a003eb24bcb7d5c4d,Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/,zbiór danych,text/csv$application/json,Ukraina,5276,613,562
Otwarte dane ASPW,"Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.",Archiwum Społeczne Polskiego Webu (ASPW),2022-03-25,b4f2c69a492ac77cb49b084cdec1df98,Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/,zbiór danych,text/csv$application/json,Polski Ład,1718,106,105
